2019-09-09 20:37:21.421352|INFO    |VirtualServer |1  |listening on 0.0.0.0:9987, [::]:9987
2019-09-09 20:37:21.935536|INFO    |VirtualServerBase|1  |client connected 'TuGfa4x4'(id:9) from 189.144.131.233:60965
2019-09-09 20:37:23.727826|INFO    |VirtualServerBase|1  |client connected '▶ lil r ◀'(id:7) from 190.84.217.156:52504
2019-09-09 20:37:24.172864|INFO    |VirtualServerBase|1  |client connected 'Black'(id:14) from 186.147.180.165:58783
2019-09-09 21:12:58.912576|INFO    |VirtualServerBase|1  |client connected 'hola'(id:23) using a myTeamSpeak ID from 190.196.117.11:54553
2019-09-09 21:16:23.090993|INFO    |PktHandler    |1  |Cleaning up connection because of 3 resends of COMMAND packet
2019-09-09 21:16:23.091166|INFO    |PktHandler    |1  |Dropping client 4 because of resend timeout
2019-09-09 21:16:23.091280|INFO    |VirtualServerBase|1  |client disconnected 'hola'(id:23) reason 'reasonmsg=connection lost'
2019-09-09 21:26:58.696640|INFO    |VirtualServerBase|1  |client connected 'hola'(id:23) using a myTeamSpeak ID from 190.196.117.11:58146
2019-09-09 21:34:28.482126|INFO    |VirtualServerBase|1  |client connected 'TeamSpeakUser'(id:29) from 190.215.30.24:51160
2019-09-09 21:43:43.561152|INFO    |VirtualServerBase|1  |client connected '---'(id:10) from 186.84.20.206:2086
2019-09-09 21:50:56.437042|INFO    |VirtualServerBase|1  |client connected 'Sr-Larrus'(id:19) from 201.207.180.78:58834
2019-09-09 21:50:57.135775|INFO    |VirtualServerBase|1  |file download from (id:0), '/icon_1298305841' by client 'Sr-Larrus'(id:19)
2019-09-09 21:50:57.140265|INFO    |VirtualServerBase|1  |file download from (id:0), '/icon_3743964162' by client 'Sr-Larrus'(id:19)
2019-09-09 21:50:57.212496|INFO    |VirtualServerBase|1  |file download from (id:0), '/icon_1933935006' by client 'Sr-Larrus'(id:19)
2019-09-09 22:18:29.954056|INFO    |VirtualServerBase|1  |client disconnected '---'(id:10) reason 'reasonmsg=saliendo'
2019-09-09 22:18:42.953998|INFO    |VirtualServerBase|1  |client connected '---'(id:10) from 186.84.20.206:2065
2019-09-09 22:24:29.384611|INFO    |VirtualServerBase|1  |client disconnected '---'(id:10) reason 'reasonmsg=saliendo'
2019-09-09 22:25:44.608343|INFO    |VirtualServerBase|1  |client connected '---'(id:10) from 186.84.20.206:10942
2019-09-09 22:28:17.292399|INFO    |VirtualServerBase|1  |client disconnected 'Black'(id:14) reason 'reasonmsg=saliendo'
2019-09-09 22:28:46.530550|INFO    |PktHandler    |1  |Cleaning up connection because of 4 resends of COMMAND packet
2019-09-09 22:28:46.531989|INFO    |PktHandler    |1  |Dropping client 10 because of resend timeout
2019-09-09 22:28:46.532073|INFO    |VirtualServerBase|1  |client disconnected '---'(id:10) reason 'reasonmsg=connection lost'
2019-09-09 22:29:40.568833|INFO    |VirtualServerBase|1  |client connected '---'(id:10) from 186.84.20.206:2064
2019-09-09 22:31:18.311055|INFO    |PktHandler    |1  |Dropping client 8 because of ping timeout 19 0 0
2019-09-09 22:31:18.311240|INFO    |VirtualServerBase|1  |client disconnected 'Sr-Larrus'(id:19) reason 'reasonmsg=connection lost'
2019-09-09 22:33:17.456598|INFO    |PktHandler    |1  |Dropping client 11 because of ping timeout 19 0 0
2019-09-09 22:33:17.456796|INFO    |VirtualServerBase|1  |client disconnected '---'(id:10) reason 'reasonmsg=connection lost'
2019-09-09 22:43:18.294483|INFO    |VirtualServerBase|1  |client connected '---'(id:10) from 186.84.20.206:8218
2019-09-09 22:44:49.229753|INFO    |VirtualServerBase|1  |client connected 'elgordopablo'(id:27) from 179.26.49.254:59322
2019-09-09 23:01:38.191570|INFO    |VirtualServerBase|1  |client disconnected '---'(id:10) reason 'reasonmsg=saliendo'
2019-09-09 23:05:56.015387|INFO    |VirtualServerBase|1  |client disconnected 'TeamSpeakUser'(id:29) reason 'reasonmsg=saliendo'
2019-09-09 23:15:20.647842|INFO    |VirtualServerBase|1  |client disconnected 'elgordopablo'(id:27) reason 'reasonmsg=saliendo'
2019-09-09 23:16:50.377286|INFO    |VirtualServerBase|1  |client connected 'TeamSpeakUser'(id:29) from 190.215.30.24:61053
2019-09-09 23:17:51.767493|INFO    |VirtualServerBase|1  |client disconnected 'TeamSpeakUser'(id:29) reason 'reasonmsg=saliendo'
2019-09-09 23:25:34.490874|INFO    |VirtualServerBase|1  |client connected '---'(id:10) from 186.84.20.206:8201
2019-09-09 23:29:24.714102|INFO    |VirtualServerBase|1  |client disconnected 'TuGfa4x4'(id:9) reason 'reasonmsg=Me llevo a tu hermana'
2019-09-09 23:46:36.767910|INFO    |VirtualServerBase|1  |client disconnected '---'(id:10) reason 'reasonmsg=saliendo'
2019-09-09 23:46:51.596400|INFO    |VirtualServerBase|1  |client disconnected 'hola'(id:23) reason 'reasonmsg=saliendo'
2019-09-09 23:52:53.578955|INFO    |VirtualServerBase|1  |client disconnected '▶ lil r ◀'(id:7) reason 'reasonmsg=saliendo'
2019-09-10 00:20:26.512248|INFO    |VirtualServerBase|1  |client connected '---'(id:10) from 186.84.20.206:8226
2019-09-10 00:21:01.726808|INFO    |VirtualServerBase|1  |client disconnected '---'(id:10) reason 'reasonmsg=saliendo'
2019-09-10 00:24:55.249893|INFO    |VirtualServerBase|1  |client connected 'hola'(id:23) using a myTeamSpeak ID from 190.196.117.11:53215
2019-09-10 00:52:02.418587|INFO    |VirtualServerBase|1  |client connected 'AlfaBlitz_-'(id:28) from 181.171.123.48:50272
2019-09-10 00:52:04.932103|INFO    |VirtualServerBase|1  |client connected 'Black'(id:14) from 186.147.180.165:62990
2019-09-10 00:56:49.541527|INFO    |VirtualServerBase|1  |client connected 'Vzla'(id:6) using a myTeamSpeak ID from 186.88.159.67:63343
2019-09-10 00:59:07.661259|INFO    |VirtualServerBase|1  |client connected 'lil Carlos'(id:8) from 200.66.49.168:25440
2019-09-10 01:06:32.490062|INFO    |VirtualServerBase|1  |client 'Vzla'(id:6) changed myTeamSpeak ID
